Institute Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",1103.0,3.0,1106.0,1103,0,1103,-3.0
Indian Institute of Technology (BHU) Varanasi,1513.0,76.0,1589.0,1528,61,1589,0.0
Indian Institute of Technology (ISM) Dhanbad,1010.0,115.0,1125.0,1109,101,1210,85.0
Indian Institute of Technology Bhilai,270.0,9.0,279.0,316,13,329,50.0
Indian Institute of Technology Bhubaneswar,496.0,0.0,496.0,496,0,496,0.0
Indian Institute of Technology Bombay,1204.0,174.0,1378.0,1204,156,1360,-18.0
Indian Institute of Technology Delhi,1152.0,57.0,1209.0,1239,0,1239,30.0
Indian Institute of Technology Dharwad,363.0,22.0,385.0,363,22,385,0.0
Indian Institute of Technology Gandhinagar,320.0,80.0,400.0,288,72,360,-40.0
Indian Institute of Technology Goa,125.0,32.0,157.0,132,33,165,8.0
Indian Institute of Technology Guwahati,855.0,107.0,962.0,855,107,962,0.0
Indian Institute of Technology Hyderabad,494.0,101.0,595.0,529,101,630,35.0
Indian Institute of Technology Indore,445.0,35.0,480.0,445,35,480,0.0
Indian Institute of Technology Jammu,280.0,0.0,280.0,305,0,305,25.0
Indian Institute of Technology Jodhpur,480.0,120.0,600.0,488,122,610,10.0
Indian Institute of Technology Kanpur,964.0,246.0,1210.0,964,246,1210,0.0
Indian Institute of Technology Kharagpur,1699.0,200.0,1899.0,1719,200,1919,20.0
Indian Institute of Technology Madras,1054.0,74.0,1128.0,1054,67,1121,-7.0
Indian Institute of Technology Mandi,501.0,19.0,520.0,501,19,520,0.0
Indian Institute of Technology Palakkad,160.0,40.0,200.0,160,40,200,0.0
Indian Institute of Technology Patna,782.0,42.0,824.0,782,35,817,-7.0
Indian Institute of Technology Roorkee,1225.0,128.0,1353.0,1246,107,1353,0.0
Indian Institute of Technology Ropar,382.0,48.0,430.0,598,48,646,216.0
Indian Institute of Technology Tirupati,241.0,13.0,254.0,241,13,254,0.0
Malaviya National Institute of Technology Jaipur,888.0,0.0,888.0,888,0,888,0.0
Maulana Azad National Institute of Technology Bhopal,962.0,241.0,1203.0,970,233,1203,0.0
Motilal Nehru National Institute of Technology Allahabad,1078.0,56.0,1134.0,1078,56,1134,0.0
National Institute of Technology Agartala,875.0,209.0,1084.0,942,218,1160,76.0
National Institute of Technology Arunachal Pradesh,160.0,0.0,160.0,230,0,230,70.0
National Institute of Technology Calicut,1196.0,44.0,1240.0,1238,40,1278,38.0
National Institute of Technology Delhi,374.0,0.0,374.0,374,0,374,0.0
National Institute of Technology Durgapur,969.0,0.0,969.0,969,0,969,0.0
National Institute of Technology Goa,224.0,0.0,224.0,224,0,224,0.0
National Institute of Technology Hamirpur,944.0,0.0,944.0,944,0,944,0.0
"National Institute of Technology Karnataka, Surathkal",956.0,2.0,958.0,956,5,961,3.0
National Institute of Technology Meghalaya,165.0,0.0,165.0,165,0,165,0.0
National Institute of Technology Nagaland,198.0,2.0,200.0,198,3,201,1.0
National Institute of Technology Patna,941.0,0.0,941.0,980,1,981,40.0
National Institute of Technology Puducherry,253.0,0.0,253.0,275,0,275,22.0
National Institute of Technology Raipur,1158.0,1.0,1159.0,1158,1,1159,0.0
National Institute of Technology Sikkim,190.0,0.0,190.0,190,0,190,0.0
"National Institute of Technology, Jamshedpur",751.0,0.0,751.0,751,0,751,0.0
"National Institute of Technology, Kurukshetra",1147.0,0.0,1147.0,1147,0,1147,0.0
"National Institute of Technology, Manipur",226.0,0.0,226.0,226,0,226,0.0
"National Institute of Technology, Mizoram",177.0,13.0,190.0,177,13,190,0.0
"National Institute of Technology, Rourkela",1058.0,7.0,1065.0,1058,2,1060,-5.0
"National Institute of Technology, Silchar",903.0,0.0,903.0,903,0,903,0.0
"National Institute of Technology, Srinagar",860.0,39.0,899.0,860,39,899,0.0
"National Institute of Technology, Tiruchirappalli",1038.0,0.0,1038.0,1038,0,1038,0.0
"National Institute of Technology, Uttarakhand",160.0,40.0,200.0,200,0,200,0.0
"National Institute of Technology, Warangal",727.0,0.0,727.0,1049,0,1049,322.0
