Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",110.0,0.0,110.0,105,0,105,-5.0
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",82.0,0.0,82.0,82,0,82,0.0
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",81.0,0.0,81.0,75,0,75,-6.0
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",54.0,0.0,54.0,54,0,54,0.0
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",20.0,0.0,20.0,20,0,20,0.0
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",109.0,0.0,109.0,105,0,105,-4.0
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",40.0,0.0,40.0,35,0,35,-5.0
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",71.0,10.0,81.0,66,6,72,-9.0
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",123.0,10.0,133.0,113,11,124,-9.0
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",130.0,20.0,150.0,130,16,146,-4.0
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",37.0,9.0,46.0,37,9,46,0.0
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",170.0,29.0,199.0,170,28,198,-1.0
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",90.0,23.0,113.0,90,22,112,-1.0
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",52.0,6.0,58.0,52,6,58,0.0
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",169.0,35.0,204.0,169,33,202,-2.0
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",112.0,11.0,123.0,102,3,105,-18.0
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",36.0,4.0,40.0,36,4,40,0.0
